# room=440065813_vcom host=192.168.1.195 port=4901
[08:35:06.636][RX] 72782030  |  rx 0
[08:35:28.669][RX] 75696e74385d20303d44697361626c65205b313d456e61626c65  |  uint8] 0=Disable [1=Enable
[08:35:28.672][RX] 5d0d0a5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f0d  |  ]\r\n____________________________\r
[08:35:28.674][RX] 0a5f5f5f5f526563656976655f616e645f5472616e736d6974  |  \n____Receive_and_Transmit
[08:35:28.677][RX] 5f5f5f5f0d0a7278202020202020202020202020202020202020436f6e74726f  |  ____\r\nrx                  Contro
[08:35:28.679][RX] 6c2072656365697665206d6f64652e0d0a202020202020202020  |  l receive mode.\r\n         
[08:35:28.682][RX] 20202020202020202020205b75696e74385d20303d44697361626c65205b313d  |             [uint8] 0=Disable [1=
[08:35:28.685][RX] 456e61626c655d0d0a7278417420202020202020202020202020  |  Enable]\r\nrxAt             
[08:35:28.686][RX] 202020436f6e666967757265207363686564756c656420726563656976652e0d  |     Configure scheduled receive.\r
[08:35:28.690][RX] 0a20202020202020202020202020202020202020205b75696e  |  \n                    [uin
[08:35:28.691][RX] 7433325d20737461727454696d6555730d0a2020202020202020202020202020  |  t32] startTimeUs\r\n              
[08:35:28.695][RX] 2020202020205b737472696e675d202772656c273d52656c6174  |        [string] 'rel'=Relat
[08:35:28.698][RX] 6976652027616273273d4162736f6c7574650d0a202020202020202020202020  |  ive 'abs'=Absolute\r\n            
[08:35:28.700][RX] 20202020202020205b75696e7433325d20656e6454696d6555  |          [uint32] endTimeU
[08:35:28.703][RX] 730d0a20202020202020202020202020202020202020205b737472696e675d20  |  s\r\n                    [string] 
[08:35:28.704][RX] 2772656c273d52656c61746976652027616273273d4162736f6c  |  'rel'=Relative 'abs'=Absol
[08:35:28.708][RX] 7574650d0a20202020202020202020202020202020202020205b75696e74386f  |  ute\r\n                    [uint8o
[08:35:28.709][RX] 70745d2072785472616e73456e6453636865643a205b305d2f  |  pt] rxTransEndSched: [0]/
[08:35:28.712][RX] 310d0a20202020202020202020202020202020202020205b75696e74386f7074  |  1\r\n                    [uint8opt
[08:35:28.715][RX] 5d2068617264456e643a205b305d2f310d0a73657452784f7074  |  ] hardEnd: [0]/1\r\nsetRxOpt
[08:35:28.716][RX] 696f6e73202020202020202053686f772f436f6e666967757265207265636569  |  ions        Show/Configure recei
[08:35:28.720][RX] 7665206f7074696f6e7320285241494c5f52585f4f5054494f4e  |  ve options (RAIL_RX_OPTION
[08:35:28.721][RX] 73292e0d0a20202020202020202020202020202020202020205b75696e743332  |  s).\r\n                    [uint32
[08:35:28.725][RX] 6f70745d2072784f7074696f6e7356616c7565733a20626974  |  opt] rxOptionsValues: bit
[08:35:28.726][RX] 6d61736b206f6620656e61626c6564206f7074696f6e730d0a74782020202020  |  mask of enabled options\r\ntx     
[08:35:28.730][RX] 202020202020202020202020205472616e736d6974207061636b  |               Transmit pack
[08:35:28.731][RX] 65747320776974682063757272656e74205458206f7074696f6e732e0d0a2020  |  ets with current TX options.\r\n  
[08:35:28.735][RX] 2020202020202020202020202020202020205b75696e743332  |                    [uint32
[08:35:28.736][RX] 5d206e756d626572206f66207061636b6574732c20303d636f6e74696e756f75  |  ] number of packets, 0=continuou
[08:35:28.740][RX] 7320756e74696c206e657874202774782030270d0a7478576974  |  s until next 'tx 0'\r\ntxWit
[08:35:28.741][RX] 684f7074696f6e732020202020202053616d6520747820636f6d6d616e642e20  |  hOptions       Same tx command. 
[08:35:28.745][RX] 5468697320636f6d6d616e6420697320646570726563617465  |  This command is deprecate
[08:35:28.746][RX] 642e0d0a20202020202020202020202020202020202020205b75696e7433325d  |  d.\r\n                    [uint32]
[08:35:28.750][RX] 206e756d626572206f66207061636b6574732c20303d636f6e74  |   number of packets, 0=cont
[08:35:28.751][RX] 696e756f757320756e74696c206e657874202774782030270d0a747841667465  |  inuous until next 'tx 0'\r\ntxAfte
[08:35:28.755][RX] 72527820202020202020202020205363686564756c6520612054  |  rRx           Schedule a T
[08:35:28.756][RX] 582077697468207370656369666965642064656c617920616674657220656163  |  X with specified delay after eac
[08:35:28.760][RX] 682052582e0d0a202020202020202020202020202020202020  |  h RX.\r\n                  
[08:35:28.761][RX] 20205b75696e7433325d2064656c617955733a20303d44697361626c650d0a63  |    [uint32] delayUs: 0=Disable\r\nc
[08:35:28.765][RX] 6f6e66696754784f7074696f6e73202020202053686f772f436f  |  onfigTxOptions     Show/Co
[08:35:28.766][RX] 6e666967757265207472616e736d6974206f7074696f6e7320285241494c5f54  |  nfigure transmit options (RAIL_T
[08:35:28.770][RX] 585f4f5054494f4e73292e0d0a202020202020202020202020  |  X_OPTIONs).\r\n            
[08:35:28.771][RX] 20202020202020205b75696e7433326f70745d2074784f7074696f6e7356616c  |          [uint32opt] txOptionsVal
